Game ID,Player,Leader,Starting Position,Score,Ending Position
897,@javea1 ,Helena,4,-33.7,4
896,@nobody09 ,Helena,4,50.0,1
896,@crashtest776 ,Rhombur,3,-0.9,2
896,@0TH0N ,Ecaz,1,-3.0,3
896,@Cabbage Cat ,Leto,2,-46.0,4
895,@lilgreenghouls ,Ecaz,3,43.3,1
895,@javea1 ,Ilban,4,40.1,2
895,@contiuspilate ,Helena,1,-41.6,3
895,@Lonk ,Hundro,2,-41.9,4
894,@devzzzy ,Ilban,2,21.3,1
894,@someproudly ,Hundro,4,8.5,2
894,@Vasya ,Helena,1,-17.3,3
894,@archonaut. ,Ecaz,3,-12.5,4
892,@justinbyun ,Beast,3,19.8,1
892,@In Flames ,Ecaz,2,30.3,2
892,@TeaMoney ,Yuna,1,-18.6,3
892,@Jackal ,Ilban,4,-31.4,4
891,@e_jasmins ,Yuna,2,57.0,1
891,@Londonerd ,Ecaz,3,-9.2,2
891,@Siroz26 ,Ariana,1,6.5,3
891,@MMB ,Leto,4,-54.4,4
890,@contiuspilate ,Memnon,1,32.5,1
890,@devzzzy ,Tessia,2,-6.8,2
890,@vintaya ,Helena,3,-6.3,3
890,@Redzurrected ,Paul,4,-19.4,4
889,@HEX ,Tessia,4,39.2,1
889,@Rosco ,Yuna,1,25.2,2
889,@MMB ,Hundro,2,-13.1,3
889,@0TH0N ,Rhombur,3,-51.3,4
888,@Zelbot ,Ilban,4,30.2,1
888,@someproudly ,Rhombur,3,5.2,2
888,@dragalar ,Ilesa,1,-2.4,3
888,@franc ,Beast,2,-32.9,4
887,@BenitoMax ,Beast,4,42.2,1
887,@friachi ,Paul,3,33.0,2
887,@DjPonyboots ,Yuna,2,-12.4,3
887,@Ajokli ,Leto,1,-62.8,4
886,@matk ,Ilban,2,67.2,1
886,@Yung Savage ,Ariana,3,-1.9,2
886,@Benten ,Baron,1,-29.8,3
886,@darksoul474 ,Helena,4,-35.5,4
885,@HEX ,Baron,3,35.0,1
885,@Unleazer ,Beast,4,30.0,2
885,@In Flames ,Hundro,2,-32.7,3
885,@lux ,Ecaz,1,-32.3,4
884,@IFreeMan ,Ecaz,3,35.1,1
884,@someproudly ,Rhombur,2,3.4,2
884,@nobody09 ,Ariana,4,-19.1,3
884,@The Immortal ,Leto,1,-19.3,4
883,@kwisatz99 ,Ecaz,4,47.8,1
883,@rybachello ,Yuna,2,34.6,2
883,@Mythic Wolf ,Ilban,3,-10.4,3
883,@Vasya ,Rhombur,1,-71.9,4
882,@ADIBOU ,Ariana,1,53.9,1
882,@maxcobain ,Baron,2,10.4,2
882,@IFreeMan ,Ilban,3,-28.2,3
882,@MrMorkow ,Hundro,4,-36.1,4
881,@IFreeMan ,Tessia,1,30.3,1
881,@Ajokli ,Ecaz,4,-3.1,2
881,@Unleazer ,Baron,3,7.4,3
881,@e_jasmins ,Yuna,2,-34.6,4
880,@darkdinner ,Ilban,1,36.6,1
880,@Ponz47 ,Ecaz,4,31.4,2
880,@nobody09 ,Ilesa,3,-22.2,3
880,@junkratsmurfbaby ,Beast,2,-45.7,4
879,@someproudly ,Paul,1,37.5,1
879,@Benten ,Ariana,4,-8.1,2
879,@JamesHarden ,Helena,2,-10.2,3
879,@Siroz26 ,Ecaz,3,-19.1,4
878,@nobody09 ,Tessia,2,69.3,1
878,@justinbyun ,Ariana,3,-8.3,2
878,@Ajokli ,Ilban,4,-16.0,3
878,@someproudly ,Helena,1,-45.0,4
876,@crashtest776 ,Rhombur,2,29.3,1
876,@vintaya ,Ecaz,3,12.3,2
876,@Redzurrected ,Paul,1,0.7,3
876,@Jay Rock ,Helena,4,-42.3,4
875,@CrazyApple ,Rhombur,3,18.7,1
875,@devzzzy ,Ecaz,1,13.1,2
875,@Zelbot ,Paul,2,-7.9,3
875,@kwisatz99 ,Beast,4,-23.9,4
874,@zafy ,Ilban,1,23.0,1
874,@Benten ,Beast,2,7.4,2
874,@In Flames ,Tessia,4,-7.0,3
874,@rybachello ,Hundro,3,-23.5,4
873,@CrazyApple ,Ariana,1,11.9,1
873,@rybachello ,Beast,2,43.9,2
873,@Zelbot ,Helena,3,-27.6,3
873,@Strm88 ,Paul,4,-28.1,4
872,@Yung Savage ,Ariana,2,59.6,1
872,@zafy ,Baron,1,3.6,2
872,@IFreeMan ,Tessia,4,-3.1,3
872,@contiuspilate ,Helena,3,-60.1,4
871,@contiuspilate ,Hundro,2,43.4,1
871,@zafy ,Tessia,4,4.1,2
871,@IFreeMan ,Ilban,1,-3.5,3
871,@Yung Savage ,Ariana,3,-44.0,4
870,@Benten ,Memnon,3,34.1,1
870,@darkdinner ,Ilban,4,5.7,2
870,@Cabbage Cat ,Baron,2,-18.4,3
870,@asat0r ,Helena,1,-21.4,4
869,@justinbyun ,Ariana,1,24.7,1
869,@zafy ,Ecaz,4,-6.3,2
869,@dragalar ,Ilban,3,4.9,3
869,@javea1 ,Baron,2,-23.3,4
868,@Pooky ,Ecaz,4,41.1,1
868,@darkdinner ,Ariana,3,23.6,2
868,@Benten ,Beast,1,-20.4,3
868,@Cabbage Cat ,Baron,2,-44.3,4
866,@friachi ,Beast,2,61.4,1
866,@javea1 ,Ilban,1,21.5,2
866,@Priceless 🥷 ,Leto,3,-26.2,3
866,@SpiceNav ,Helena,4,-56.7,4
865,@louis🏍🏍🏍 ,Ilban,3,42.6,1
865,@Narballs ,Baron,4,18.9,2
865,@Benten ,Ecaz,1,-34.2,3
865,@SmashCaffe ,Helena,2,-27.4,4
864,@vaggelakos13 ,Rhombur,4,40.7,1
864,@krompl ,Beast,1,-9.1,2
864,@lux ,Baron,3,12.8,3
864,@Chimamamanda ,Hundro,2,-44.3,4
863,@Thuney ,Tessia,3,28.7,1
863,@BenitoMax ,Helena,4,23.3,2
863,@Cabbage Cat ,Hundro,2,-17.5,3
863,@SmashCaffe ,Ariana,1,-34.5,4
862,@javea1 ,Baron,1,70.4,1
862,@krompl ,Hundro,2,-11.6,2
862,@lux ,Helena,4,8.9,3
862,@vaggelakos13 ,Leto,3,-67.7,4
861,@Franz ,Rhombur,4,44.7,1
861,@BenitoMax ,Ilban,1,21.1,2
861,@vonbotis ,Hundro,3,-19.1,3
861,@Jackal ,Yuna,2,-46.6,4
860,@Yung Savage ,Paul,3,33.5,1
860,@contiuspilate ,Ilesa,2,-11.5,2
860,@Jeremias ,Hundro,1,-1.7,3
860,@lux ,Ecaz,4,-20.3,4
859,@vaggelakos13 ,Ariana,4,50.1,1
859,@Thuney ,Beast,3,-0.4,2
859,@Londonerd ,Ecaz,1,-18.4,3
859,@Udar ,Hundro,2,-31.3,4
858,@justinbyun ,Ilban,4,44.6,1
858,@krompl ,Ecaz,2,20.4,2
858,@devzzzy ,Paul,1,-25.6,3
858,@IFreeMan ,Hundro,3,-39.4,4
857,@contiuspilate ,Rhombur,2,23.4,1
857,@Yung Savage ,Ilban,1,1.8,2
857,@lux ,Baron,3,14.0,3
857,@Jeremias ,Leto,4,-39.2,4
856,@devzzzy ,Leto,4,38.8,1
856,@IFreeMan ,Ecaz,3,20.7,2
856,@Yooliss ,Memnon,1,9.3,3
856,@justinbyun ,Yuna,2,-68.9,4
855,@Cabbage Cat ,Helena,3,52.6,1
855,@Ajokli ,Beast,2,3.3,2
855,@krompl ,Ariana,4,-39.4,3
855,@lux ,Memnon,1,-16.5,4
854,@Thuney ,Baron,1,49.7,1
854,@justinbyun ,Helena,4,-7.3,2
854,@IFreeMan ,Tessia,2,-15.0,3
854,@Yooliss ,Memnon,3,-27.4,4
853,@eliottjacques5 ,Baron,3,36.9,1
853,@krompl ,Tessia,2,-11.1,2
853,@lux ,Helena,4,14.8,3
853,@Motherfucking Sitarboy ,Ecaz,1,-40.6,4
852,@In Flames ,Ecaz,2,64.6,1
852,@devzzzy ,Ilban,3,-7.9,2
852,@Cabbage Cat ,Ariana,1,-10.4,3
852,@vintaya ,Baron,4,-46.3,4
851,@HEX ,Beast,4,53.7,1
851,@e_jasmins ,Helena,2,35.5,2
851,@Cabbage Cat ,Leto,3,-30.0,3
851,@Mythic Wolf ,Ecaz,1,-59.2,4
850,@devzzzy ,Ilban,4,38.9,1
850,@Vasya ,Leto,2,9.6,2
850,@eliottjacques5 ,Helena,3,-15.9,3
850,@epsi2lon#0001 ,Yuna,1,-32.5,4
849,@lilgreenghouls ,Ariana,3,45.0,1
849,@someproudly ,Ilban,2,-7.0,2
849,@Lonk ,Ecaz,4,-18.8,3
849,@archonaut. ,Helena,1,-19.1,4
848,@Zelbot ,Helena,4,21.7,1
848,@BenitoMax ,Leto,3,15.5,2
848,@lux ,Ilban,2,11.4,3
848,@matk ,Beast,1,-48.6,4
847,@Franz ,Ariana,1,37.3,1
847,@HEX ,Yuna,2,19.9,2
847,@Unleazer ,Paul,3,4.2,3
847,@In Flames ,Baron,4,-61.4,4
846,@someproudly ,Rhombur,2,35.7,1
846,@Thuney ,Hundro,3,3.1,2
846,@franc ,Paul,4,2.6,3
846,@MMB ,Leto,1,-41.3,4
845,@contiuspilate ,Memnon,1,39.7,1
845,@Ajokli ,Rhombur,3,12.2,2
845,@Yung Savage ,Ilban,4,-22.8,3
845,@raimondc ,Yuna,2,-29.2,4
844,@contiuspilate ,Ilesa,2,36.2,1
844,@Yung Savage ,Helena,4,-0.3,2
844,@In Flames ,Baron,3,-17.4,3
844,@archonaut. ,Ecaz,1,-18.6,4
843,@kwisatz99 ,Ecaz,1,55.1,1
843,@IFreeMan ,Tessia,4,-2.5,2
843,@Franz ,Rhombur,3,-15.8,3
843,@HEX ,Yuna,2,-36.8,4
842,@Yung Savage ,Paul,3,24.6,1
842,@kwisatz99 ,Ilesa,2,14.6,2
842,@Martell ,Leto,1,9.8,3
842,@emocat ,Baron,4,-49.0,4
841,@zafy ,Ecaz,4,26.8,1
841,@BenitoMax ,Baron,2,37.8,2
841,@IFreeMan ,Yuna,1,-29.2,3
841,@kwisatz99 ,Ilban,3,-35.5,4
840,@rybas_h3 ,Helena,1,26.4,1
840,@Franz ,Baron,3,33.5,2
840,@Woerdistan ,Hundro,2,-20.2,3
840,@kwisatz99 ,Tessia,4,-39.7,4
839,@Vasya ,Ariana,3,54.7,1
839,@devzzzy ,Ilban,4,13.2,2
839,@MMB ,Tessia,2,5.6,3
839,@rybas_h3 ,Memnon,1,-73.6,4
838,@eliottjacques5 ,Ilesa,1,39.8,1
838,@waata ,Ilban,4,36.1,2
838,@someproudly ,Rhombur,3,-37.3,3
838,@Rosco ,Hundro,2,-38.6,4
837,@rybas_h3 ,Yuna,1,31.2,1
